,product_index,name,n_reviews,price,brand,img_url,details,star_rating,product_url,sentiment_rf_feature0,contribution_rf_feature0,sentiment_rf_feature1,contribution_rf_feature1,sentiment_rf_feature2,contribution_rf_feature2,sentiment_rf_feature3,contribution_rf_feature3
4183,4184,"Art of Sam Timm ""Cabin Holiday"" - 1000 Piece Puzzle - 27"" X 20""",1,0.0,nan,https://images-na.ssl-images-amazon.com/images/I/710dOKyo6cL._SL1100_.jpg,,5.0,https://amazon.com/Art-Sam-Timm-Cabin-Holiday/dp/B00LKP4DVQ,,0.0,,0.0,,0.0,,0.0
4184,4185,Buffalo Games Coca-Cola: Pause and Refresh - 1000 Piece Jigsaw Puzzle by Buffalo Games,5,29.99,Buffalo Games,https://images-na.ssl-images-amazon.com/images/I/81VWhUWzzGL._SL1500_.jpg,'1000 piece jigsaw puzzle. Finished size is 26.75 x 19.75 inches. Includes bonus poster for help in solving. Manufactured from premium quality materials. Made in the USA',4.6,https://amazon.com/Buffalo-Games-Coca-Cola-Refresh-Jigsaw/dp/B00KDGY33G,,0.0,,0.0,0.18475000000000003,2.0,0.6684,2.0
4185,4186,Don't Count Your Chickens 1000 Piece Puzzle by SunsOut Theme: Farm Animal - Chicken Hen Egg,7,69.83,SUNSOUT INC,nan,'Don`t Count Your Chickens 1000 Piece Puzzle by SunsOut. 1000 Piece Puzzle - Completed Size: 20x27. Puzzle Artist: Lois B. Sutton. Eco-Friendly - Soy-Based Inks - Recycled Board - Made in the USA. Interlocking Pieces & Durable Construction',5.0,https://amazon.com/Count-Chickens-Piece-Puzzle-SunsOut/dp/B00JC7OZ3K,,0.0,0.4769833333333333,3.0,0.6134999999999999,2.0,0.6249,1.0
4186,4187,"[Puzzlelife] 1000 Piece Jigsaw Puzzles ""Korean Woman Dancing""",3,42.99,nan,https://images-na.ssl-images-amazon.com/images/I/71RGqNjzrrL._SL1000_.jpg,"'Manufactured by Korean Best Brand ""Puzzlelife"". Package include paste for Jigsaw puzzle and Poster of complete work. Manufacturing company Puzzlelife made license contracts with all artist or its companies 1000 peace of puzzle included.'",4.7,https://amazon.com/Puzzlelife-Jigsaw-Puzzles-Korean-Dancing/dp/B00I3UX6HS,,0.0,0.65955,2.0,,0.0,0.6361,1.0
4187,4188,Tenyo (DS-767) Disney All Star Playing Cards Jigsaw Puzzle (1000 Piece),2,49.53,Tenyo,https://images-na.ssl-images-amazon.com/images/I/9162cS-jQBL._SL1500_.jpg,'Officially Licensed by Tenyo. New and sealed inside retail packaging. Completed Puzzle ~ 51.2 x 73.7 cm. Contains 1000 Jigsaw Puzzle Pieces. Limited Availability',4.3,https://amazon.com/Tenyo-DS-767-Disney-Playing-Jigsaw/dp/B00I2ELW0S,-0.4215,1.0,,0.0,,0.0,0.7964,1.0
4188,4189,Springbok Puzzles - Moonlit Village - 1000 Piece Jigsaw Puzzle - Large 24 Inches by 30 Inches Puzzle - Made in USA - Unique Cut Interlocking Pieces,5,0.0,nan,https://images-na.ssl-images-amazon.com/images/I/71I86SLOmcL._SL1000_.jpg,"'1000 PIECE JIGSAW PUZZLE - Featuring a finished size of 30 inches by 24 inches with a precision cut that ensures a tight, interlocking heirloom-quality puzzle. MADE IN USA - Manufactured in Kansas City, Missouri; Springbok Puzzles have been American made since 1963. ECO-FRIENDLY - Springbok Puzzles are manufactured with sustainably sourced organic, non-toxic soy-based inks & utilizes 100% recycled puzzle board materials. UNIQUE CUT PIECES - Each puzzle piece is unique and never repeated; Springbok Puzzle pieces are made from thick cut 75 point board, 18% thicker than the industry average. EASY NO HASSLE PUZZLE WARRANTY - All Springbok Puzzle products are covered with our satisfaction guarantee on materials and craftsmanship'",3.2,https://amazon.com/Springbok-Puzzles-Moonlit-Village-Interlocking/dp/B00BXOW56O,,0.0,0.66565,1.0,0.14709333333333333,3.0,0.21403333333333335,2.0
4189,4190,"Mega Puzzles - Saturday Evening Post - 1,000 pc. Puzzle LEADING LADIES",2,0.0,nan,https://images-na.ssl-images-amazon.com/images/I/81P9lh%2BT79L._SL1012_.jpg,"'Mega Puzzles Saturday Evening Post ""LEADING LADIES"" 1000-pc Puzzle. Fully interlocking pieces. Completed size: 26.75"" X 18.94"" (67.95cm X 48.10cm). Made in USA Made in USA. for ages 12 years +'",5.0,https://amazon.com/Mega-Puzzles-Saturday-Evening-LEADING/dp/B00BF16WTQ,,0.0,,0.0,,0.0,,0.0
4190,4191,Pintoo - H1485 - Eiffel Tower - 1000 Piece Plastic Puzzle,1,25.6,Pintoo,https://images-na.ssl-images-amazon.com/images/I/A1A4--%2BOVbL._SL1500_.jpg,"'Hard plastic puzzle pieces, NOT paper No glue required Snug interlocking, do not fall apart when picked up Ready to frame when completed Water resistant printing.'",5.0,https://amazon.com/Pintoo-H1485-Eiffel-Plastic-Puzzle/dp/B009S46ZVC,,0.0,,0.0,,0.0,,0.0
4191,4192,"Ravensburger Colorful Activity at Times Square Augmented Reality Jigsaw Puzzle, 1000-Piece",30,29.44,Ravensburger,https://images-na.ssl-images-amazon.com/images/I/91qTxN5EaML._SL1500_.jpg,"'Puzzle Size: 27"" x 20"". Ravensburger Premium Puzzle with Softclick Technology. We use an exclusively developed, extra-thick cardboard and combine this with our fine. Our steel cutting tools are designed and crafted by hand This ensures that no two pieces are alike and guarantees a perfect interlocking fit'",3.3,https://amazon.com/Ravensburger-Colorful-Activity-Augmented-1000-Piece/dp/B008S8IKWQ,-0.5305,2.0,0.40611813333333335,25.0,0.4313828703703703,18.0,0.3871088235294117,17.0
4192,4193,Ravensburger Baltic Sea - Resort Ahlbeck Jigsaw Puzzle (1000 Piece),3,19.18,Ravensburger,https://images-na.ssl-images-amazon.com/images/I/81aqdcbmx5L._SL1500_.jpg,"'Piece count: 1000. Age-appropriate in motif, Part number and Part size. Age: from 14 years. Manufacturer warranty may not apply'",3.6,https://amazon.com/Ravensburger-Baltic-Sea-Resort-Ahlbeck/dp/B00508OMOC,-0.4477,1.0,0.1917,2.0,,0.0,0.5994,1.0
4193,4194,Signs of Spring 1000 pc Jigsaw Puzzle,7,32.98,SUNSOUT INC,https://images-na.ssl-images-amazon.com/images/I/81oVIAvl%2BmL._SL1500_.jpg,'Signs of Spring 1000 pc Jigsaw Puzzle. 1000 Piece Puzzle - Completed Size: 32.25x26.7 Shaped. Puzzle Artist: Lori Schory. Eco-Friendly - Soy-Based Inks - Recycled Board - Made in the USA. Interlocking Pieces & Durable Construction',4.6,https://amazon.com/Signs-Spring-1000-Jigsaw-Puzzle/dp/B004HSHHF2,,0.0,0.19177500000000003,4.0,0.5256,1.0,0.40945000000000004,3.0
4194,4195,Grounds for Murder: Mystery Jigsaw Puzzle,4,14.29,Bepuzzled,https://images-na.ssl-images-amazon.com/images/I/81QVUA-A88L._SL1500_.jpg,"'A Mystery Jigsaw Puzzle Thriller with a Secret Puzzle Image. 1000 Pieces. Finished Size 23? x 29"". Difficulty Level: Difficult'",3.7,https://amazon.com/Grounds-Murder-Mystery-Jigsaw-Puzzle/dp/B003U0C0KA,,0.0,-0.06276666666666665,3.0,0.34,1.0,,0.0
4195,4196,SUNSOUT INC Blue Ribbon Groomer Jigsaw Puzzle,16,33.59,SUNSOUT INC,nan,'Blue Ribbon Groomer Jigsaw Puzzle. 1000 Piece Puzzle - Completed Size: 27x35. Puzzle Artist: Bill Bell. Eco-Friendly - Soy-Based Inks - Recycled Board - Made in the USA. Interlocking Pieces & Durable Construction',3.1,https://amazon.com/Blue-Ribbon-Groomer-Jigsaw-Puzzle/dp/B0037FZ40Q,,0.0,0.15072291666666665,8.0,0.28174,5.0,0.4981466666666667,3.0
4196,4197,Alchemy Name of the Rose 1000 Piece Jigsaw Puzzle,34,0.0,nan,https://images-na.ssl-images-amazon.com/images/I/813PjNHEfzL._SL1500_.jpg,'1000 Pieces. Measures 20 x 27 when completed. Full color with snug fitting pieces. 100% Officially Licensed Merchandise',3.6,https://amazon.com/Alchemy-Name-Piece-Jigsaw-Puzzle/dp/B0032JTJJE,,0.0,0.36709393939393936,11.0,0.14446333333333333,5.0,0.5851277777777777,9.0
4197,4198,Obama 1000-piece Puzzle,15,0.0,nan,https://images-na.ssl-images-amazon.com/images/I/91ytu-VbW3L._SL1500_.jpg,'barack obama president flag history. historic commemorative collector',4.3,https://amazon.com/Hasbro-Obama-1000-piece-Puzzle/dp/B001OVV69I,0.5994,1.0,0.47649166666666665,4.0,0.0657857142857143,1.0,0.7104222222222223,3.0
4198,4199,Buffalo Games Thinking Winnie Photomosaic 1026 Piece Puzzle - 81305,3,35.44,Buffalo Games,https://images-na.ssl-images-amazon.com/images/I/A1-WLE55-TL._SL1500_.jpg,,3.3,https://amazon.com/Buffalo-Games-Thinking-Winnie-Photomosaic/dp/B000S0QNRG,-0.296,1.0,-0.2183,1.0,,0.0,0.7269,1.0
4199,4200,White Mountain Puzzles Guardian of the Sea 1000 Piece Jigsaw Puzzle,1,0.0,nan,nan,'1000 Piece Jigsaw Puzzle. Puzzle Pieces are Random Shaped. Made From Thick Puzzle Board. Protective High Gloss Finish',5.0,https://amazon.com/White-Mountain-Puzzles-Guardian-Jigsaw/dp/B000BXK0KG,,0.0,0.6124,1.0,,0.0,,0.0
